year,date,time,latitude,longitude,depth,surface_wave_magnitude,abe_magnitude,intensity,max_height,moment_magnitude,available_observations,damage_code,cause,validity,warning_status,region_code,basic_reference,source_region
1935,22 Aug,22:00:00,38.6,-27.6,N/A,N/A,N/A,2.0,N/A,N/A,0,0,E,3,N/A,NEA,PARC,"Ilha de Faiac, Porto Comprio"
1935,20 Sep,01:46:43,-3.82,141.42,30,7.9,N/A,N/A,N/A,N/A,0,0,E,3,N/A,NGS,WWT,Bismarck Sea.New Guinea
1935,12 Oct,16:45:24,40.2,143.3,15,7.2,7.2,-1.0,0.33,-1.0,6,N,E,4,N/A,JAP,IID,"Off Miyako,Sanriku.Japan"
1935,18 Oct,00:12:00,40.24,144.01,15,7.2,6.9,-2.0,0.2,-1.0,1,N,E,4,N/A,JAP,IID,"Off Miyako,Sanriku.Japan"
1935,21 Nov,11:41:00,19.5,-155.5,8,N/A,N/A,1.0,0.1,N/A,1,N,M,1,N/A,HAW,LLO,HAWAII
1935,28 Dec,02:35:31,-0.29,98.26,30,8.1,N/A,N/A,N/A,N/A,0,0,E,1,N/A,IND,SGN,SW.SUMATRA
1936,01 Apr,02:09:28,4.24,126.37,35,7.7,N/A,1.5,3.0,N/A,1,M,E,4,N/A,IND,WWT,Sulawesi-N.Molucca.Indonesia
1936,13 Jul,11:12:18,-24.72,-70.11,35,7.3,N/A,N/A,1.0,N/A,2,S,E,3,N/A,SAM,LOC,"Taltal, Northern Chile"
1936,23 Aug,21:12:16,5.32,94.72,50,N/A,N/A,N/A,N/A,N/A,0,0,E,2,N/A,IND,WWT,"EAST OF JAVA, IND."
1936,13 Sep,00:00:00,61.87,6.83,N/A,N/A,N/A,2.0,70.0,6.0,1,M,L,4,N/A,NEA,PARC,"Bodal and Nesdal, Loen, Norway"
1936,27 Oct,15:50:00,58.64,-137.57,N/A,N/A,N/A,3.0,150.0,7.0,1,0,L,4,N/A,A-A,LA1,"Lituya Bay, Alaska"
1936,02 Nov,20:45:58,38.24,142.28,35,7.2,7.0,0.0,0.7,-1.0,9,N,E,4,N/A,JAP,IID,"Off Kinkazan,Sanriku.Japan"
1936,13 Nov,12:31:33,55.96,163.4,20,7.3,N/A,2.0,13.0,3.5,1,L,E,1,N/A,K-K,SOL,Kamchatka Peninsula.USSR
1937,16 Apr,03:01:38,-20.6,-177.32,330,8.1,N/A,N/A,0.9,N/A,1,N,E,0,N/A,NZT,SGN,TONGA
1937,28 May,00:00:00,-4.2,152.2,N/A,N/A,N/A,1.5,2.0,2.0,1,S,V,4,N/A,NGS,EV1,Bismarck Sea.New Guinea
1937,29 May,00:00:00,-4.2,152.2,N/A,N/A,N/A,1.5,N/A,2.5,0,0,V,4,N/A,NGS,WWT,Bismarck Sea.New Guinea
1937,20 Jul,07:01:00,43.2,16.4,N/A,5.2,N/A,N/A,N/A,N/A,0,0,E,3,N/A,MED,SO1,N/A
